Date (walk),Map status,GPX file ID,Comments,Desc,Route comments (Harshit),Route comments (Jay),Distance (heuristic),Food Rating/comments (if enthu@ Harshit),Food Rating/comments (if enthu@ Jay)
2/9/2025,Added,6417083503,,"Following bus ride to the UWS, walked down Malcolm X Boulevard to Chai, a Pakistani tea place. Somewhat underwhelming cup of tea later, walked to a Bombay Frankie place - Roti Roll, that was universally liked by everyone",,,1.32 mi,"Kaafi: 6.5/10, Roti Roll: 8.5/10","Kaafi: 3/10, Roti Roll: 8/10"
2/9/2025,Added,6416489479,,Went to Central Park on a snow day. Exited to catch a bus to UWS,,,0.17 mi,,
2/4/2025,Added,6417120514,,"Met up near Bryant Park for food.Went to Red Flame Diner for dinner, and then walked down Park Avenue to Mardia's home.",,,3.04 mi,Red Flame Diner: 7/10 (Harshit),Red Flame Diner: 5/10
1/25/2025,Added,6417313465,,"Met at Chama Mama for Dinner, then took a short walk down the st. to Gadfly Bar.",,,,Chama Mama: 8/10,Chama Mama: 6/10
1/18/2025,Added,6417284416,,"Large group lunch at Pier 57, followed by trip to DDK's house.","We walked from blah to Pier 57, but the exact route is not easy to figure out. So skipped that for now.",,0.39 mi,Pier 57 Food Court: 7.5/10 (Harshit),
1/4/2025,Added,6417090139,,Walked from W 4th St station to Honest Indian Restaurant for a weekend lunch,,,0.27 mi,Honest Indian Restaurant: 7.5/10 (Harshit),Honest India Restaurant: 7/10
10/2/2024,Added,6417213091,,"Made Korean pancakes at Harshit's house, and then walked to FDR park on Roosevelt Island",,,1.16 mi,Homemade: 7.5/10 (Harshit),Korean Pancakes: 7.5/10
9/25/2024,Added,6263562727,,"Had Ramen @ Ivan Ramen, before walking to Broadway/Delancey Station.",,,0.36 mi,Ivan Ramen: 8/10,Ivan Ramen Do not Remember food opinion
9/24/2024,Added,6263559136,,"Watched My Old Ass at AMC Kips Bay, then just walked to station together",,,0.35 mi,,
9/17/2024,Added,6263565601,,Met up near MSK for a walk on the UES. Ended with dinner at La Vista Pizza near the tram station.,,,1.4 mi,La Vista Pizza: 8.25/10,
2/11/2025,Added,6422392162,,"Burlington at Union Sq to Flatiron building, first up union sq west and then broadway. From Flatiron, go west on 23rd till 6 Av F station",,Post work walk Charvi Harshit Jay. tea and dubai chocolate from Lava Shawarma. ,,,"Lava Shawarma tea is a tad too sweet, but recommend their food."
3/4/2025,Added,6575041974,,"L'industrie to Peculier Pub. down christopher, west 4th, macdougal, bleecker.",,hanging out with charvi and sanchit ,,,L'industrie pizza - 7/10
3/8/2025,Added,6575051892,,"Union Sq to 2nd Ave on 14th, down to East 3rd, then to Avenue B on East 3rd. Then walk to F stop at 2nd Av and Houston",,walk + co-work + chai with charvi,,,"Kolkata Chai Co - kadak chai was surprisingly good, 7/10. But lots of options only available in oat milk, 3/10."
3/22/2025,Added,6575049331,,2 av and Houston F stop to DROM on ave a,,chappell roan dance party,,,
3/25/2025,Added,6575048225,,qahwah house w village to shake shack w village,,get chai and hang out with charvi,,,
3/28/2025,Added,6575052325,,two blocks on East 13th. univ place to 4th ave,,pizza,,,
3/31/2025,Added,6575053159,,"union sq burlington to TJ on 14th st. then back to broadway on 14th, down broadway to 11th. east on 11th to 6th Ave. South to west 4th st on 3rd st",,,,,
